rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
104,frame_0104.jpg,41.6,0.5423,0.7093,0.5455,0.12,13,6,False,False
105,frame_0122.jpg,48.8,0.5422,0.6263,0.3636,0.6,12,4,False,False
106,frame_0117.jpg,46.8,0.541,0.7583,0.2727,0.4,12,3,False,False
107,frame_0370.jpg,148.0,0.5395,0.7903,0.4545,0.04,21,5,False,False
108,frame_0284.jpg,113.6,0.5393,0.691,0.2727,0.56,11,3,False,False
109,frame_0292.jpg,116.8,0.5387,0.4846,0.4545,0.8,12,5,False,False
110,frame_0304.jpg,121.6,0.5376,0.6745,0.4545,0.32,13,5,False,False
111,frame_0302.jpg,120.8,0.5364,0.6947,0.3636,0.4,16,4,False,False
112,frame_0093.jpg,37.2,0.536,0.8124,0.2727,0.24,16,3,False,False
113,frame_0085.jpg,34.0,0.5356,0.6291,0.3636,0.56,12,4,False,False
114,frame_0128.jpg,51.2,0.5349,0.5702,0.2727,0.84,17,3,False,False
115,frame_0118.jpg,47.2,0.5347,0.6207,0.4545,0.44,14,5,False,False
116,frame_0125.jpg,50.0,0.5337,0.5613,0.3636,0.72,12,4,False,False
117,frame_0285.jpg,114.0,0.5312,0.7134,0.1818,0.6,11,2,False,False
118,frame_0170.jpg,68.0,0.5304,0.6506,0.3636,0.48,15,4,False,False
119,frame_0283.jpg,113.2,0.5278,0.5204,0.5455,0.52,12,6,False,False
120,frame_0174.jpg,69.6,0.5264,0.652,0.4545,0.32,13,5,False,False
121,frame_0273.jpg,109.2,0.526,0.7858,0.3636,0.12,17,4,False,False
122,frame_0080.jpg,32.0,0.5256,0.529,0.3636,0.76,14,4,False,False
123,frame_0169.jpg,67.6,0.523,0.5653,0.4545,0.52,14,5,False,False
124,frame_0329.jpg,131.6,0.5211,0.7921,0.3636,0.08,21,4,False,False
125,frame_0102.jpg,40.8,0.5194,0.8271,0.2727,0.12,13,3,False,False
126,frame_0297.jpg,118.8,0.5193,0.5804,0.3636,0.6,13,4,False,False
127,frame_0286.jpg,114.4,0.5182,0.5622,0.3636,0.64,14,4,False,False
128,frame_0072.jpg,28.8,0.5178,0.472,0.2727,1.0,16,3,False,False
129,frame_0007.jpg,2.8,0.5168,0.5791,0.0909,1.0,7,1,False,False
130,frame_0186.jpg,74.4,0.5152,0.7418,0.4545,0.04,16,5,False,False
131,frame_0384.jpg,153.6,0.5148,0.5838,0.6364,0.16,22,7,False,False
132,frame_0381.jpg,152.4,0.5128,0.6278,0.6364,0.04,16,7,False,False
133,frame_0176.jpg,70.4,0.5111,0.708,0.3636,0.24,14,4,False,False
134,frame_0113.jpg,45.2,0.5093,0.6498,0.4545,0.24,16,5,False,False
135,frame_0305.jpg,122.0,0.5063,0.6278,0.4545,0.28,14,5,False,False
136,frame_0296.jpg,118.4,0.5037,0.5877,0.2727,0.64,13,3,False,False
137,frame_0010.jpg,4.0,0.5019,0.4401,0.2727,1.0,7,3,False,False
138,frame_0004.jpg,1.6,0.5016,0.5486,0.0909,1.0,17,1,False,False
139,frame_0298.jpg,119.2,0.4998,0.5029,0.4545,0.56,13,5,False,False
140,frame_0230.jpg,92.0,0.4994,0.8962,0.0909,0.12,15,1,False,False
141,frame_0210.jpg,84.0,0.4988,0.5074,0.3636,0.68,9,4,False,False
142,frame_0110.jpg,44.0,0.4983,0.5667,0.6364,0.12,16,7,False,False
143,frame_0086.jpg,34.4,0.4925,0.6134,0.2727,0.52,13,3,False,False
144,frame_0373.jpg,149.2,0.4918,0.6469,0.4545,0.16,21,5,False,False
145,frame_0097.jpg,38.8,0.4913,0.7324,0.3636,0.08,16,4,False,False
